STATISTICS.packets_TO_BS3 STATISTICS.DEAD3 STATISTICS.ALLIVE3
27474.00 27477.00 27480.00
27483.00 27484.00 27485.00
27486.00 27491.00 27492.00
27495.00 27500.00 27501.00
27502.00 27505.00 27514.00
27515.00 27518.00 27525.00
27526.00 27529.00 27532.00
27537.00 27540.00 27543.00
27544.00 27553.00 27554.00
27557.00 27558.00 27559.00
27562.00 27565.00 27568.00
27573.00 27574.00 27579.00
27582.00 27585.00 27586.00
27587.00 27590.00 27593.00
27596.00 27603.00 27604.00
27605.00 27608.00 27611.00
27612.00 27615.00 27616.00
27619.00 27622.00 27629.00
27634.00 27639.00 27640.00
27647.00 27650.00 27651.00
27652.00 27653.00 27656.00
27661.00 27664.00 27667.00
27668.00 27669.00 27674.00
27679.00 27682.00 27685.00
27686.00 27691.00 27694.00
27695.00 27696.00 27709.00
27710.00 27713.00 27716.00
27717.00 27720.00 27721.00
27724.00 27729.00 27732.00
27733.00 27734.00 27737.00
27742.00 27743.00 27750.00
27753.00 27754.00 27755.00
27758.00 27759.00 27766.00
27767.00 27774.00 27777.00
27778.00 27781.00 27784.00
27785.00 27788.00 27791.00
27794.00 27795.00 27796.00
27799.00 27806.00 27809.00
27814.00 27817.00 27818.00
27819.00 27826.00 27829.00
27834.00 27839.00 27840.00
27841.00 27844.00 27849.00
27850.00 27855.00 27856.00
27859.00 27862.00 27867.00
27868.00 27873.00 27874.00
27875.00 27880.00 27885.00
27886.00 27891.00 27896.00
27897.00 27900.00 27903.00
27904.00 27907.00 27910.00
27913.00 27918.00 27919.00
27922.00 27927.00 27930.00
27931.00 27934.00 27937.00
27938.00 27939.00 27944.00
27947.00 27950.00 27955.00
27956.00 27957.00 27964.00
27967.00 27968.00 27969.00
27970.00 27973.00 27974.00
27979.00 27984.00 27985.00
27994.00 27995.00 27998.00
28001.00 28002.00 28009.00
28012.00 28013.00 28020.00
28023.00 28024.00 28025.00
28028.00 28033.00 28034.00
28035.00 28038.00 28041.00
28046.00 28051.00 28054.00
28059.00 28062.00 28065.00
28070.00 28073.00 28076.00
28077.00 28078.00 28081.00
28084.00 28085.00 28088.00
28089.00 28090.00 28095.00
28100.00 28105.00 28106.00
28109.00 28114.00 28115.00
28120.00 28123.00 28128.00
28129.00 28130.00 28137.00
28138.00 28141.00 28144.00
28145.00 28148.00 28153.00
28158.00 28161.00 28164.00
28165.00 28170.00 28173.00
28174.00 28175.00 28178.00
28183.00 28184.00 28191.00
28194.00 28199.00 28200.00
28201.00 28204.00 28205.00
28210.00 28211.00 28216.00
28219.00 28220.00 28223.00
28228.00 28229.00 28234.00
28235.00 28240.00 28245.00
28246.00 28249.00 28252.00
28255.00 28256.00 28261.00
28264.00 28265.00 28266.00
28269.00 28270.00 28271.00
28274.00 28281.00 28288.00
28293.00 28294.00 28299.00
28302.00 28305.00 28312.00
28313.00 28314.00 28315.00
28316.00 28321.00 28324.00
28327.00 28334.00 28337.00
28338.00 28343.00 28344.00
28347.00 28350.00 28351.00
28354.00 28357.00 28360.00
28361.00 28364.00 28367.00
28370.00 28373.00 28380.00
28381.00 28384.00 28391.00
28394.00 28397.00 28402.00
28403.00 28406.00 28409.00
28412.00 28413.00 28414.00
28417.00 28418.00 28423.00
28426.00 28429.00 28432.00
28435.00 28442.00 28443.00
28444.00 28447.00 28450.00
28451.00 28456.00 28461.00
28464.00 28467.00 28468.00
28471.00 28474.00 28481.00
28482.00 28483.00 28486.00
28487.00 28492.00 28497.00
28502.00 28503.00 28504.00
28507.00 28510.00 28511.00
28512.00 28517.00 28520.00
28523.00 28526.00 28529.00
28534.00 28539.00 28540.00
28545.00 28548.00 28549.00
28554.00 28559.00 28560.00
28561.00 28564.00 28567.00
28574.00 28577.00 28580.00
28585.00 28588.00 28589.00
28590.00 28591.00 28594.00
